iter	RMSE
0	1.528852565
1	1.416003195
2	1.30758263
3	1.208755647
4	1.127258128
5	1.050173023
6	0.9821311618
7	0.9172211076
8	0.865272497
9	0.8196159388
10	0.7767692682
11	0.7405862612
12	0.7072248505
13	0.6761657782
14	0.6494258036
15	0.6242603493
16	0.6060457048
17	0.5877743984
18	0.570798412
19	0.5540763243
20	0.5393385579
21	0.5271754413
22	0.515131678
23	0.5038890484
24	0.4936441381
25	0.4839445744
26	0.4759465049
27	0.4686512484
28	0.4622373921
29	0.4564562077
30	0.4512012532
31	0.4460875581
32	0.4421771655
33	0.4376855254
34	0.4338376456
35	0.4305873802
36	0.4274859382
37	0.4239418158
38	0.4212138491
39	0.418296164
40	0.4161247409
41	0.4134478365
42	0.4107703282
43	0.4087081113
44	0.4068305731
45	0.4043797374
46	0.4027510618
47	0.4008896621
48	0.3997117042
49	0.3984433027
50	0.3973108045
51	0.3964001172
52	0.3951601863
53	0.3942343569
54	0.3934805081
55	0.391495733
56	0.3903147432
57	0.3889434805
58	0.3879600057
59	0.3857428476
60	0.3838755487
61	0.3829549926
62	0.3822779066
63	0.3813499318
64	0.3806479149
65	0.3785928203
66	0.3764325457
67	0.3753586428
68	0.3732869721
69	0.3726776743
70	0.3713982294
71	0.3703419112
72	0.3679142018
73	0.3655041803
74	0.364924914
75	0.3645247931
76	0.362976528
77	0.3621327373
78	0.3611446366
79	0.3594822357
80	0.3570381283
81	0.3560011454
82	0.3552310235
83	0.3525251336
84	0.3512767094
85	0.3507078705
86	0.3502922232
87	0.3492107637
88	0.3467457893
89	0.3462628956
90	0.3451909064
91	0.3439723541
92	0.3434969725
93	0.3419027786
94	0.3408319074
95	0.3403449948
96	0.3399806252
97	0.3393800609
98	0.338938977
99	0.3378282578
100	0.3363038263
101	0.3350517937
102	0.3342821984
103	0.333789306
104	0.330800599
105	0.330007138
106	0.3290448325
107	0.328080351
108	0.327464691
109	0.3270149003
110	0.3266615006
111	0.3243448741
112	0.3235710324
113	0.3224925774
114	0.3217550769
115	0.3213014966
116	0.3200751409
117	0.3180503518
118	0.3166788721
119	0.3151595148
120	0.3144818137
121	0.3137551718
122	0.3132735534
123	0.3128357437
124	0.3124151249
125	0.3110695122
126	0.3105462026
127	0.3099181555
128	0.3092593843
129	0.308687749
130	0.308291269
131	0.3080169121
132	0.3068629653
133	0.3064359676
134	0.3047913071
135	0.3042070971
136	0.3027273813
137	0.3016348895
138	0.3013390954
139	0.3008717661
140	0.300235786
141	0.2995301972
142	0.2992845852
143	0.2988083753
144	0.2984846054
145	0.2974395196
146	0.2969091393
147	0.2962082214
148	0.2956807309
149	0.2952799343
150	0.2947362833
151	0.2945321198
152	0.2943431349
153	0.2936762898
154	0.2926884734
155	0.2923801631
156	0.2920113442
157	0.2917348081
158	0.2911373751
159	0.2907270479
160	0.2900114897
161	0.2885447725
162	0.2882286221
163	0.2876638993
164	0.2867442096
165	0.2862333313
166	0.285566139
167	0.2852172879
168	0.2850177207
169	0.2845791953
170	0.2841793759
171	0.2839883448
172	0.2837843183
173	0.2833577389
174	0.2829902763
175	0.2826221893
176	0.2824516118
177	0.282067747
178	0.2817388301
179	0.2804302891
180	0.2800974084
181	0.2790453283
182	0.278816459
183	0.2781960621
184	0.2779487247
185	0.2770138115
186	0.2766532716
187	0.276480728
188	0.2763082371
189	0.2759917312
190	0.2755120006
191	0.2750372091
192	0.2748292975
193	0.2742765543
194	0.2740359933
195	0.273206591
196	0.2728815667
197	0.2725379742
198	0.272044557
199	0.2718556712
200	0.2716429551
201	0.2713118413
202	0.2711177877
203	0.2704390642
204	0.269980255
205	0.2696486649
206	0.2694194628
207	0.2691964941
208	0.2689995674
209	0.2686352008
210	0.268060318
211	0.2678421913
212	0.2676850017
213	0.2673728026
214	0.2669329148
215	0.2666797726
216	0.2663976765
217	0.2661977784
218	0.2660144677
219	0.2655988685
220	0.2652914603
221	0.2650043097
222	0.2646531609
223	0.2645224768
224	0.2643425172
225	0.2639094948
226	0.2636986122
227	0.2634660905
228	0.2633285047
229	0.2624687735
230	0.2621367445
231	0.2620098435
232	0.2615614297
233	0.2614306101
234	0.2611230014
235	0.2607830628
236	0.2605411424
237	0.2603023809
238	0.2601275795
239	0.2599718661
240	0.2594166391
241	0.2591085494
242	0.2587875577
243	0.2585025881
244	0.2583360913
245	0.2581488764
246	0.2577725415
247	0.2576450074
248	0.2574575855
249	0.2572208621
250	0.2570740009
251	0.2568373311
252	0.2562162269
253	0.2559377398
254	0.2556665638
255	0.2555069561
256	0.2554659841
257	0.2551761231
258	0.2545273211
259	0.2543990604
260	0.2542769848
261	0.2540884427
262	0.2539716903
263	0.2535276765
264	0.2530420233
265	0.2528544407
266	0.2526577822
267	0.2521090386
268	0.2519539626
269	0.25180613
270	0.2515474631
271	0.2510899389
272	0.250974847
273	0.2508052029
274	0.2506246499
275	0.2503896008
276	0.2500449442
277	0.2497874981
278	0.2494734056
279	0.2491338717
280	0.2486059582
281	0.2484637333
282	0.2483598131
283	0.2482145371
284	0.2480278079
285	0.2476574258
286	0.2474710041
287	0.2473067841
288	0.2472721794
289	0.2471757121
290	0.2469694458
291	0.2467239775
292	0.2465112647
293	0.2464144184
294	0.2461817786
295	0.2460060065
296	0.2458413858
297	0.2456283697
298	0.2454551848
299	0.2451647565
300	0.2449530837
301	0.2448122409
302	0.2445923696
303	0.2444368339
304	0.2442562885
305	0.2441321395
306	0.2440602074
307	0.2439741388
308	0.2436256224
309	0.2433777508
310	0.2429990519
311	0.2428412022
312	0.2427394793
313	0.2425497734
314	0.2423260834
315	0.2422404331
