iter	Passed	Remaining
0	1	1946
1	3	1709
2	4	1615
3	6	1658
4	8	1716
5	10	1709
6	12	1705
7	13	1695
8	15	1707
9	17	1708
10	18	1689
11	20	1668
12	22	1686
13	23	1689
14	25	1690
15	27	1683
16	28	1674
17	30	1664
18	32	1656
19	33	1647
20	35	1644
21	37	1662
22	39	1664
23	40	1661
24	42	1654
25	43	1648
26	45	1646
27	47	1649
28	49	1647
29	50	1645
30	53	1662
31	54	1658
32	56	1653
33	58	1651
34	59	1648
35	61	1642
36	62	1638
37	64	1637
38	66	1641
39	68	1650
40	70	1647
41	72	1644
42	73	1641
43	75	1638
44	77	1635
45	78	1631
46	81	1655
47	83	1660
48	85	1658
49	87	1655
50	88	1650
51	90	1647
52	91	1643
53	93	1639
54	95	1642
55	97	1645
56	99	1647
57	101	1647
58	104	1666
59	106	1663
60	107	1660
61	109	1661
62	111	1661
63	113	1661
64	115	1663
65	117	1666
66	119	1665
67	121	1665
68	123	1665
69	125	1661
70	126	1657
71	128	1655
72	130	1653
73	132	1656
74	134	1658
75	136	1659
76	138	1660
77	140	1656
78	141	1652
79	143	1650
80	145	1652
81	147	1651
82	149	1647
83	150	1645
84	152	1642
85	154	1639
86	155	1635
87	157	1630
88	159	1630
89	161	1631
90	163	1629
91	164	1626
92	166	1623
93	168	1620
94	169	1617
95	171	1614
96	173	1612
97	175	1614
98	177	1611
99	178	1608
100	180	1607
101	182	1606
102	184	1604
103	185	1601
104	187	1598
105	189	1595
106	191	1596
107	192	1592
108	195	1594
109	196	1592
110	198	1589
111	200	1586
112	201	1582
113	203	1579
114	205	1578
115	206	1577
116	208	1575
117	210	1573
118	212	1570
119	213	1568
120	215	1565
121	217	1563
122	218	1560
123	220	1560
124	222	1559
125	224	1558
126	226	1555
127	228	1553
128	229	1550
129	231	1547
130	232	1544
131	234	1541
132	236	1540
133	238	1539
134	239	1536
135	241	1534
136	243	1531
137	244	1528
138	246	1525
139	247	1522
140	249	1520
141	251	1520
142	253	1518
143	255	1517
144	257	1515
145	258	1512
146	260	1510
147	261	1507
148	263	1504
149	265	1502
150	267	1502
151	268	1500
152	270	1497
153	272	1495
154	273	1492
155	275	1489
156	276	1486
157	278	1484
158	280	1482
159	282	1484
160	284	1484
161	286	1482
162	288	1479
163	289	1477
164	291	1474
165	293	1472
166	294	1470
167	297	1471
168	299	1470
169	300	1468
170	302	1466
171	304	1463
172	305	1461
173	307	1458
174	309	1458
175	311	1458
176	313	1457
177	315	1456
178	317	1456
179	319	1454
180	320	1451
181	322	1449
182	324	1446
183	325	1444
184	327	1442
185	329	1441
186	330	1438
187	332	1436
188	334	1433
189	335	1431
190	337	1430
191	339	1428
192	341	1426
193	343	1425
194	344	1423
195	346	1421
196	348	1419
197	350	1417
198	351	1415
199	353	1413
200	355	1411
201	356	1408
202	358	1408
203	360	1406
204	362	1404
205	363	1402
206	365	1401
207	367	1400
208	369	1398
209	371	1395
210	372	1393
211	374	1392
212	376	1390
213	378	1388
214	379	1386
215	381	1385
216	383	1383
217	384	1381
218	386	1378
219	388	1376
220	390	1375
221	392	1374
222	394	1373
223	396	1372
224	397	1370
225	399	1368
226	401	1365
227	402	1363
228	404	1361
229	406	1360
230	408	1359
231	410	1357
232	411	1355
233	413	1353
234	415	1351
235	416	1349
236	418	1346
237	420	1345
238	422	1344
239	423	1342
240	425	1339
241	427	1337
242	428	1335
243	430	1333
244	431	1331
245	433	1328
246	435	1327
247	437	1327
248	439	1326
249	441	1324
250	442	1321
251	444	1319
252	446	1317
253	447	1315
254	449	1313
255	451	1312
256	453	1310
257	454	1308
258	456	1306
259	458	1304
260	459	1301
261	461	1299
262	463	1297
263	464	1295
264	467	1295
265	468	1293
266	470	1291
267	472	1289
268	473	1287
269	475	1285
270	477	1283
271	478	1281
272	480	1279
273	482	1278
274	484	1276
275	485	1274
276	487	1272
277	488	1269
278	490	1267
279	492	1265
280	493	1263
281	495	1262
282	497	1261
283	499	1260
284	501	1258
285	503	1256
286	505	1254
287	506	1253
288	508	1250
289	509	1248
290	511	1246
291	513	1245
292	515	1243
293	516	1241
